Gender,Age,Dur,ppv
Male,17,48,25.08392904
Male,17,49,25.26953508
Male,17,50,25.44500626
Male,18,2,1.96979068
Male,18,3,2.910273155
Male,18,4,3.822322015
Male,18,5,4.706786089
Male,18,6,5.564489201
Male,18,7,6.396230888
Male,18,8,7.202787114
Male,18,9,7.984910951
Male,18,10,8.743333246
Male,18,11,9.47876327
Male,18,12,10.19188934
Male,18,13,10.88337945
Male,18,14,11.55388182
Male,18,15,12.20402442
Male,18,16,12.83441071
Male,18,17,13.44561636
Male,18,18,14.03819014
Male,18,19,14.61265481
Male,18,20,15.16950796
Male,18,21,15.70922301
Male,18,22,16.23225017
Male,18,23,16.73901733
Male,18,24,17.22993114
Male,18,25,17.70537798
Male,18,26,18.16572494
Male,18,27,18.61132091
Male,18,28,19.04249753
Male,18,29,19.45957032
Male,18,30,19.86283966
Male,18,31,20.25259184
Male,18,32,20.62910017
Male,18,33,20.99262601
Male,18,34,21.34341299
Male,18,35,21.68169915
Male,18,36,22.00770776
Male,18,37,22.32164759
Male,18,38,22.6237133
Male,18,39,22.91408587
Male,18,40,23.19293313
Male,18,41,23.46041041
Male,18,42,23.71666125
Male,18,43,23.96181832
Male,18,44,24.19600454
Male,18,45,24.4193343
Male,18,46,24.63191495
Male,18,47,24.83384858
Male,18,48,25.02523398
Male,18,49,25.20616893
Male,18,50,25.37675285
Male,19,1,1
Male,19,2,1.969778835
Male,19,3,2.910238337
Male,19,4,3.822253778
Male,19,5,4.706674643
Male,19,6,5.564325376
Male,19,7,6.396006112
Male,19,8,7.202493381
Male,19,9,7.984540797
Male,19,10,8.742879725
Male,19,11,9.478219926
Male,19,12,10.19125019
Male,19,13,10.88263895
Male,19,14,11.55303372
Male,19,15,12.20305676
Male,19,16,12.83330168
Male,19,17,13.44433434
Male,19,18,14.03669379
Male,19,19,14.61089311
Male,19,20,15.16742047
Male,19,21,15.70674011
Male,19,22,16.22929325
Male,19,23,16.7354992
Male,19,24,17.22575637
Male,19,25,17.7004433
Male,19,26,18.15991975
Male,19,27,18.60452767
Male,19,28,19.03459242
Male,19,29,19.45042374
Male,19,30,19.85231684
Male,19,31,20.24055353
Male,19,32,20.61540334
Male,19,33,20.97711746
Male,19,34,21.32594135
Male,19,35,21.66210524
Male,19,36,21.9858244
Male,19,37,22.29729957
Male,19,38,22.59671735
Male,19,39,22.8842508
Male,19,40,23.16006009
Male,19,41,23.42429323
Male,19,42,23.67708703
Male,19,43,23.91856823
Male,19,44,24.14885479
Male,19,45,24.36805741
Male,19,46,24.57628134
Male,19,47,24.77362846
Male,19,48,24.9601996
Male,19,49,25.13609726
Male,19,50,25.30142858
Male,20,1,1
Male,20,2,1.96976699
Male,20,3,2.910203519
Male,20,4,3.822185543
Male,20,5,4.706563199
Male,20,6,5.564161557
